kind,model,N,fold,l.0,l.1,0,1,2,3,4,5,6,7
closed,gpr.v.a,300,5,1,1,0.004756,0.008059,0.010142,0.009148,0.007390,0.005644,0.000000,0.000000
closed,gpr.v.a,300,5,1,2,0.003303,0.005559,0.008122,0.009961,0.012144,0.013548,0.014234,0.014234
closed,gpr.v.a,300,5,2,0,0.004928,0.006795,0.008230,0.009140,0.010172,0.011243,0.011861,0.011861
closed,gpr.v.a,300,5,2,1,0.003380,0.005687,0.008197,0.009960,0.012162,0.013706,0.014688,0.014688
closed,gpr.v.a,300,5,2,2,0.004755,0.006700,0.007739,0.009599,0.011861,0.011902,0.000000,0.000000
total,gpr.v.a,240,0,0,0,0.005783,0.006671,0.006724,0.006135,0.004952,0.003233,0.000000,0.000000
total,gpr.v.a,240,0,0,1,0.024001,0.022083,0.020383,0.018723,0.017084,0.015495,0.012525,0.012525
total,gpr.v.a,240,0,0,2,0.025808,0.023845,0.022623,0.021103,0.019179,0.017036,0.013277,0.013277
total,gpr.v.a,240,0,1,0,0.022642,0.020926,0.019356,0.017776,0.016184,0.014628,0.011670,0.011670
total,gpr.v.a,240,0,1,1,0.012233,0.011106,0.009994,0.007262,0.005217,0.003128,0.000000,0.000000
total,gpr.v.a,240,0,1,2,0.032139,0.029232,0.027137,0.024972,0.022330,0.020229,0.017227,0.017227
total,gpr.v.a,240,0,2,0,0.027023,0.024910,0.023514,0.021938,0.019945,0.017794,0.014025,0.014025
total,gpr.v.a,240,0,2,1,0.033047,0.029914,0.027712,0.025518,0.022881,0.020786,0.017773,0.017773
total,gpr.v.a,240,0,2,2,0.008623,0.011072,0.013480,0.012968,0.010291,0.006212,0.000000,0.000000
total,gpr.v.a,240,1,0,0,0.005804,0.006136,0.006167,0.005303,0.004020,0.002853,0.000000,0.000000
total,gpr.v.a,240,1,0,1,0.023390,0.021262,0.019638,0.017941,0.016197,0.014697,0.012163,0.012163
total,gpr.v.a,240,1,0,2,0.025623,0.023829,0.022509,0.020835,0.019048,0.016632,0.013192,0.013192
total,gpr.v.a,240,1,1,0,0.022133,0.020217,0.018697,0.017080,0.015363,0.013891,0.011370,0.011370
total,gpr.v.a,240,1,1,1,0.013271,0.010306,0.009224,0.006278,0.004666,0.002990,0.000000,0.000000
total,gpr.v.a,240,1,1,2,0.031345,0.028155,0.025970,0.023779,0.021552,0.019412,0.016644,0.016644
total,gpr.v.a,240,1,2,0,0.027657,0.025601,0.023984,0.022185,0.020262,0.017830,0.014369,0.014369
total,gpr.v.a,240,1,2,1,0.032425,0.029005,0.026723,0.024503,0.022286,0.020157,0.017369,0.017369
total,gpr.v.a,240,1,2,2,0.009421,0.012187,0.013139,0.013032,0.010197,0.005283,0.000000,0.000000
total,gpr.v.a,240,2,0,0,0.006600,0.006705,0.006961,0.006623,0.004723,0.003293,0.000000,0.000000
total,gpr.v.a,240,2,0,1,0.026320,0.024406,0.022443,0.020726,0.018285,0.016934,0.014045,0.014045
total,gpr.v.a,240,2,0,2,0.028329,0.026922,0.025344,0.023798,0.021087,0.019140,0.014782,0.014782
total,gpr.v.a,240,2,1,0,0.024417,0.022668,0.020921,0.019353,0.016952,0.015662,0.012795,0.012795
total,gpr.v.a,240,2,1,1,0.014455,0.011610,0.010604,0.007078,0.004622,0.002993,0.000000,0.000000
total,gpr.v.a,240,2,1,2,0.035021,0.032512,0.030006,0.027440,0.024133,0.022056,0.019221,0.019221
